,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,51.91,50,40,42.57,CL,1662743287
1,Goderich,43.7501,-81.7165,74.91,56,0,9.04,CA,1662743288
2,Sumbe,-11.2061,13.8437,72.37,84,33,6.58,AO,1662743290
3,Chapais,49.7834,-74.8492,77.67,38,71,12.5,CA,1662743292
4,Sitka,57.0531,-135.33,57.09,82,100,4.61,US,1662743293
5,Aripuanã,-9.1667,-60.6333,104.41,23,25,3.06,BR,1662743295
6,Qaanaaq,77.484,-69.3632,34.72,55,3,4.23,GL,1662743297
7,Uarini,-2.99,-65.1083,94.46,42,73,4.07,BR,1662743298
8,Keuruu,62.2667,24.7,50.81,75,54,3.49,FI,1662743300
9,Port Hardy,50.6996,-127.4199,51.98,100,100,4.61,CA,1662743301
10,Nanortalik,60.1432,-45.2371,45.93,79,92,3.89,GL,1662743303
11,Varaždin,46.3044,16.3378,70.81,26,51,1.3,HR,1662743305
12,Kingsport,36.5484,-82.5618,82.36,62,40,4.61,US,1662743210
13,Busselton,-33.65,115.3333,51.53,91,1,7.7,AU,1662743308
14,Saint-Philippe,-21.3585,55.7679,69.39,78,41,11.9,RE,1662743310
15,Port Blair,11.6667,92.75,81.63,80,100,13.82,IN,1662743146
16,Rikitea,-23.1203,-134.9692,72.21,65,25,21.72,PF,1662743313
17,Pisco,-13.7,-76.2167,64.45,68,0,10.36,PE,1662743315
18,Mataura,-46.1927,168.8643,37.94,98,86,2.59,NZ,1662743316
19,Carnarvon,-24.8667,113.6333,64.69,72,15,15.08,AU,1662743318
20,Ancud,-41.8697,-73.8203,51.22,85,87,5.28,CL,1662743320
21,Mercedes,-34.6515,-59.4307,57.94,32,7,14.72,AR,1662743131
22,Saskylakh,71.9167,114.0833,40.28,98,100,6.38,RU,1662743323
23,Guabito,9.5,-82.6167,87.06,64,100,4.16,PA,1662743324
24,Harper,4.375,-7.7169,78.93,72,57,10.4,LR,1662743326
25,Kruisfontein,-34.0033,24.7314,64.89,93,0,3.65,ZA,1662743327
26,Batemans Bay,-35.7167,150.1833,54.1,86,92,4.81,AU,1662743134
27,Vaini,-21.2,-175.2,73.56,88,75,6.91,TO,1662743331
28,Cabo San Lucas,22.8909,-109.9124,88.61,81,40,9.22,MX,1662743301
29,Cidreira,-30.1811,-50.2056,80.37,54,95,9.26,BR,1662743334
30,Hobart,-42.8794,147.3294,55.26,94,100,5.75,AU,1662743336
31,Constitución,-35.3333,-72.4167,56.07,51,0,12.33,CL,1662743337
32,Kapaa,22.0752,-159.319,75.18,91,40,3.44,US,1662743339
33,Taree,-31.9,152.4667,51.12,100,40,2.3,AU,1662743341
34,Ushuaia,-54.8,-68.3,47.86,66,40,18.41,AR,1662743237
35,Atuona,-9.8,-139.0333,75.22,83,49,22.97,PF,1662743345
36,Novikovo,51.1537,37.8879,48.02,49,29,7.76,RU,1662743346
37,Aksu,41.1231,80.2644,80.8,19,57,2.21,CN,1662743348
38,Bengkulu,-3.8004,102.2655,76.75,85,100,4.16,ID,1662743350
39,Auki,-8.7676,160.7034,75.54,89,87,4.16,SB,1662743351
40,Hithadhoo,-0.6,73.0833,81.86,71,20,10.11,MV,1662743353
41,George Town,5.4112,100.3354,80.89,81,20,0.0,MY,1662743154
42,Provideniya,64.3833,-173.3,42.64,83,5,7.29,RU,1662743357
43,Nhulunbuy,-12.2333,136.7667,74.01,94,40,3.44,AU,1662743358
44,Challans,46.8436,-1.8749,68.2,72,20,16.84,FR,1662743360
45,Puerto Nariño,-3.7703,-70.3831,94.32,45,73,0.09,CO,1662743362
46,Rosa Zarate,0.3333,-79.4667,86.52,54,90,4.43,EC,1662743363
